Date,Open,High,Low,Close,Volume,Adj Close
2005-01-04,3.59,3.62,3.56,3.58,175163,3.58
2005-01-05,3.59,3.62,3.53,3.61,118311,3.61
2005-01-06,3.61,3.61,3.56,3.57,67227,3.57
2005-01-07,3.59,3.62,3.55,3.6,101467,3.6
2005-01-10,3.55,3.62,3.55,3.58,112741,3.58
2005-01-11,3.58,3.63,3.56,3.63,217777,3.63
2005-01-12,3.65,3.65,3.59,3.63,122971,3.63
2005-01-13,3.59,3.65,3.56,3.64,232743,3.64
2005-01-14,3.63,3.68,3.6,3.65,450712,3.65
2005-01-17,3.62,3.71,3.57,3.65,790604,3.65
2005-01-18,3.71,3.74,3.65,3.73,679020,3.73
2005-01-19,3.73,3.74,3.67,3.68,253458,3.68
2005-01-20,3.68,3.68,3.56,3.58,362670,3.58
2005-01-21,3.54,3.74,3.53,3.69,426535,3.69
2005-01-24,3.73,3.76,3.68,3.75,542543,3.75
2005-01-25,3.73,3.73,3.68,3.73,379474,3.73
2005-01-26,3.72,3.77,3.67,3.75,557479,3.75
2005-01-27,3.75,3.75,3.68,3.73,363526,3.73
2005-01-28,3.69,3.73,3.65,3.68,322991,3.68
2005-01-31,3.67,3.71,3.65,3.71,992042,3.71
2005-02-01,3.7,3.72,3.55,3.62,767325,3.62
2005-02-02,3.59,3.78,3.59,3.78,634402,3.78
2005-02-03,3.77,3.86,3.7,3.83,835537,3.83
2005-02-04,3.83,3.87,3.77,3.85,435930,3.85
2005-02-16,3.88,3.93,3.78,3.87,424496,3.87
2005-02-17,3.87,3.88,3.78,3.87,265030,3.87
2005-02-18,3.81,3.83,3.78,3.78,166814,3.78
2005-02-21,3.81,3.88,3.75,3.88,521943,3.88
2005-02-22,3.87,3.92,3.82,3.9,1131012,3.9
2005-02-23,3.9,3.92,3.87,3.9,511300,3.9
2005-02-24,3.86,4.0,3.86,4.0,1234176,4.0
2005-02-25,3.99,4.02,3.93,3.94,801920,3.94
2005-02-28,3.92,4.0,3.88,3.98,562262,3.98
2005-03-01,3.97,3.98,3.9,3.93,429437,3.93
2005-03-02,3.96,3.96,3.83,3.84,767104,3.84
2005-03-03,3.83,3.89,3.81,3.86,559356,3.86
2005-03-04,3.86,3.88,3.83,3.86,466867,3.86
2005-03-07,3.85,3.87,3.83,3.85,315463,3.85
2005-03-08,3.85,3.97,3.85,3.95,972782,3.95
2005-03-09,3.97,4.06,3.92,4.04,2053954,4.04
2005-03-10,4.02,4.02,3.94,3.95,881172,3.95
2005-03-11,3.94,4.0,3.88,3.97,498800,3.97
2005-03-14,3.97,4.07,3.96,4.04,809298,4.04
2005-03-15,4.04,4.08,4.01,4.04,830401,4.04
2005-03-16,4.02,4.02,3.89,3.91,622380,3.91
2005-03-17,3.91,3.98,3.88,3.89,317757,3.89
2005-03-18,3.89,3.9,3.71,3.72,704458,3.72
2005-03-21,3.7,3.73,3.57,3.67,446369,3.67
2005-03-22,3.65,3.65,3.57,3.64,279572,3.64
2005-03-23,3.64,3.76,3.6,3.71,284937,3.71
2005-03-24,3.65,3.75,3.64,3.71,236964,3.71
2005-03-25,3.63,3.68,3.63,3.66,222149,3.66
2005-03-28,3.65,3.71,3.57,3.7,290599,3.7
2005-03-29,3.69,3.71,3.63,3.68,134871,3.68
2005-03-30,3.63,3.65,3.58,3.65,248447,3.65
2005-03-31,3.59,3.64,3.49,3.55,663291,3.55
2005-04-01,3.53,3.64,3.36,3.58,755370,3.58
2005-04-04,3.54,3.54,3.41,3.42,270471,3.42
2005-04-05,3.4,3.44,3.23,3.32,699303,3.32
2005-04-06,3.26,3.4,3.23,3.4,492787,3.4
2005-04-07,3.45,3.46,3.38,3.41,967104,3.41
2005-04-08,3.44,3.44,3.34,3.41,922991,3.41
2005-04-11,3.41,3.41,3.33,3.39,820583,3.39
2005-04-12,3.38,3.38,3.3,3.33,475807,3.33
2005-04-13,3.36,3.52,3.33,3.52,2203325,3.52
2005-04-14,3.5,3.5,3.4,3.45,1330757,3.45
2005-04-15,3.42,3.49,3.33,3.38,797118,3.38
2005-04-18,3.34,3.38,3.04,3.04,1197840,3.04
2005-04-19,3.02,3.02,2.79,2.86,2553888,2.86
2005-04-20,2.82,2.83,2.59,2.69,3496527,2.69
2005-04-21,2.65,2.72,2.64,2.69,1113382,2.69
2005-04-22,2.82,2.96,2.82,2.96,6096962,2.96
2005-04-25,2.99,2.99,2.67,2.94,3588352,2.94
2005-04-26,2.95,3.1,2.95,2.96,4161926,2.96
2005-04-27,2.96,2.96,2.77,2.88,2391020,2.88
2005-04-28,2.88,2.96,2.79,2.94,2147592,2.94
2005-04-29,2.93,3.01,2.81,2.85,1751686,2.85
2005-05-09,2.82,2.83,2.57,2.65,1459642,2.65
2005-05-10,2.57,2.66,2.43,2.66,1516027,2.66
2005-05-11,2.75,2.91,2.75,2.78,2901691,2.78
2005-05-12,2.79,2.92,2.79,2.89,2056861,2.89
2005-05-13,2.87,3.05,2.82,3.05,3419068,3.05
2005-05-16,3.04,3.13,2.97,3.02,2667478,3.02
2005-05-17,3.02,3.11,3.01,3.03,1703412,3.03
2005-05-18,3.03,3.26,3.02,3.22,3406990,3.22
2005-05-19,3.22,3.23,3.11,3.16,2437773,3.16
2005-05-20,3.14,3.16,3.03,3.08,1921112,3.08
2005-05-23,3.08,3.08,2.95,3.01,1517376,3.01
2005-05-24,2.99,3.12,2.96,3.1,1359449,3.1
2005-05-25,3.08,3.19,3.07,3.1,1585628,3.1
2005-05-26,3.07,3.14,3.02,3.05,974379,3.05
2005-05-27,3.06,3.12,3.03,3.09,1785141,3.09
2005-05-30,3.08,3.19,3.04,3.17,1341638,3.17
2005-05-31,3.24,3.25,3.11,3.12,1626935,3.12
2005-06-01,3.06,3.11,3.02,3.06,1205072,3.06
2005-06-02,2.99,3.06,2.99,3.04,1063344,3.04
2005-06-03,3.02,3.03,2.85,2.99,1527017,2.99
2005-06-06,2.98,3.04,2.9,3.03,1197366,3.03
2005-06-07,3.16,3.26,3.11,3.2,6191338,3.2
2005-06-08,3.16,3.45,3.11,3.42,7712391,3.42
2005-06-09,3.38,3.38,3.19,3.3,5396367,3.3
2005-06-10,3.29,3.29,3.17,3.17,2878683,3.17
2005-06-13,3.17,3.26,3.17,3.23,1002849,3.23
2005-06-14,3.22,3.23,3.02,3.02,1817629,3.02
2005-06-15,2.99,2.99,2.86,2.86,1631060,2.86
2005-06-17,2.92,2.96,2.85,2.85,1233048,2.85
2005-06-20,2.83,2.96,2.67,2.93,2586445,2.93
2005-06-21,2.91,2.98,2.87,2.93,1484174,2.93
2005-06-22,2.92,2.98,2.91,2.96,1004433,2.96
2005-06-23,2.96,2.96,2.88,2.9,728319,2.9
2005-06-24,2.9,2.9,2.8,2.86,913069,2.86
2005-06-27,2.87,2.98,2.87,2.97,1871469,2.97
2005-06-28,2.97,2.97,2.86,2.87,766196,2.87
2005-06-29,2.86,2.92,2.83,2.85,704345,2.85
2005-06-30,2.83,2.89,2.8,2.81,605141,2.81
2005-07-01,2.78,2.82,2.63,2.63,948961,2.63
2005-07-04,2.63,2.63,2.46,2.59,725189,2.59
2005-07-05,2.56,2.77,2.54,2.72,1683042,2.72
2005-07-06,2.71,2.82,2.7,2.78,1902890,2.78
2005-07-07,2.78,2.84,2.73,2.82,1401739,2.82
2005-07-08,2.81,2.91,2.79,2.91,2723982,2.91
2005-07-11,2.96,2.99,2.86,2.86,2799725,2.86
2005-07-12,2.82,2.94,2.78,2.91,2383468,2.91
2005-07-13,2.91,2.95,2.88,2.88,1015509,2.88
2005-07-14,2.88,2.89,2.81,2.82,1009141,2.82
2005-07-15,2.82,2.85,2.69,2.72,990299,2.72
2005-07-18,2.71,2.75,2.66,2.75,642665,2.75
2005-07-19,2.88,2.88,2.71,2.82,944372,2.82
2005-07-20,2.85,2.89,2.83,2.87,1974209,2.87
2005-07-21,2.88,2.88,2.74,2.76,1151852,2.76
2005-07-22,2.76,2.86,2.76,2.82,1562073,2.82
2005-07-25,2.82,2.95,2.79,2.94,3166188,2.94
2005-07-26,2.9,3.05,2.9,3.01,5277206,3.01
2005-07-27,3.01,3.08,2.97,3.06,3357029,3.06
2005-07-28,3.07,3.09,3.04,3.08,4100633,3.08
2005-07-29,3.09,3.16,3.06,3.14,2559730,3.14
2005-08-01,3.19,3.25,3.16,3.19,3142601,3.19
2005-08-02,3.26,3.26,3.17,3.22,1367575,3.22
2005-08-03,3.23,3.25,3.19,3.2,2212591,3.2
2005-08-04,3.2,3.34,3.2,3.3,3303008,3.3
2005-08-05,3.33,3.38,3.31,3.36,2235830,3.36
2005-08-08,3.41,3.44,3.34,3.42,2241473,3.42
2005-08-09,3.45,3.45,3.35,3.44,1586381,3.44
2005-08-10,3.44,3.47,3.41,3.46,1431269,3.46
2005-08-11,3.48,3.52,3.39,3.4,3165610,3.4
2005-08-12,3.39,3.43,3.33,3.41,2797602,3.41
2005-08-15,3.41,3.48,3.36,3.46,2317406,3.46
2005-08-16,3.47,3.63,3.45,3.52,1927850,3.52
2005-08-17,3.5,3.54,3.4,3.53,2558560,3.53
2005-08-18,3.52,3.52,3.36,3.37,1463958,3.37
2005-08-19,3.37,3.4,3.31,3.38,1426908,3.38
2005-08-22,3.37,3.4,3.35,3.39,301255,3.39
2005-08-23,3.35,3.41,3.29,3.34,747426,3.34
2005-08-24,3.35,3.4,3.33,3.39,697065,3.39
2005-08-25,3.4,3.48,3.38,3.47,1076786,3.47
2005-08-26,3.49,3.58,3.47,3.5,1339141,3.5
2005-08-29,3.51,3.57,3.38,3.44,1043281,3.44
2005-08-30,3.1,3.48,3.1,3.35,945735,3.35
2005-08-31,3.35,3.37,3.29,3.36,726615,3.36
2005-09-01,3.36,3.44,3.32,3.42,968335,3.42
2005-09-02,3.45,3.51,3.41,3.46,898008,3.46
2005-09-05,3.47,3.52,3.44,3.49,752389,3.49
2005-09-06,3.51,3.51,3.4,3.41,1018423,3.41
2005-09-07,3.48,3.5,3.44,3.49,1185215,3.49
2005-09-08,3.5,3.62,3.46,3.57,2070153,3.57
2005-09-09,3.57,3.62,3.53,3.59,1933351,3.59
2005-09-12,3.52,3.6,3.5,3.55,1331611,3.55
2005-09-13,3.54,3.62,3.52,3.61,1414659,3.61
2005-09-14,3.62,3.64,3.57,3.61,1183217,3.61
2005-09-15,3.61,3.75,3.6,3.74,4157216,3.74
2005-09-16,3.71,3.74,3.66,3.71,1539836,3.71
2005-09-19,3.71,3.86,3.68,3.85,2647258,3.85
2005-09-20,3.92,3.92,3.74,3.85,1745377,3.85
2005-09-21,3.88,3.88,3.73,3.81,3827544,3.81
2005-09-22,3.76,3.83,3.73,3.82,2687699,3.82
2005-09-23,3.86,4.04,3.86,3.93,3770998,3.93
2005-09-26,3.93,3.93,3.76,3.86,1088778,3.86
2005-09-27,3.86,3.86,3.79,3.83,756930,3.83
2005-09-28,3.84,3.86,3.75,3.76,608695,3.76
2005-09-29,3.76,3.85,3.74,3.82,535102,3.82
