Date,Open,High,Low,Close,Volume,Adj Close
2005-01-04,1.92,1.92,1.88,1.9,6051092,1.9
2005-01-05,1.9,1.91,1.85,1.88,11072884,1.88
2005-01-06,1.89,1.92,1.88,1.9,9163117,1.9
2005-01-07,1.91,1.91,1.88,1.89,6481750,1.89
2005-01-10,1.89,1.92,1.85,1.92,9045046,1.92
2005-01-12,1.92,1.92,1.88,1.9,5631279,1.9
2005-01-13,1.9,1.92,1.9,1.91,5501053,1.91
2005-01-14,1.91,1.92,1.89,1.89,5514785,1.89
2005-01-17,1.88,1.88,1.81,1.82,10898527,1.82
2005-01-18,1.82,1.83,1.79,1.81,8906662,1.81
2005-01-19,1.81,1.82,1.79,1.79,5791849,1.79
2005-01-20,1.79,1.79,1.74,1.75,13570509,1.75
2005-01-21,1.75,1.89,1.71,1.87,34495087,1.87
2005-01-24,1.92,1.93,1.86,1.88,22194161,1.88
2005-01-25,1.88,1.88,1.82,1.84,12028364,1.84
2005-01-26,1.83,1.88,1.82,1.83,8720300,1.83
2005-01-27,1.83,1.83,1.78,1.79,8677203,1.79
2005-01-28,1.78,1.8,1.76,1.8,8011427,1.8
2005-01-31,1.79,1.79,1.75,1.76,6384377,1.76
2005-02-01,1.77,1.8,1.76,1.77,7308688,1.77
2005-02-02,1.78,1.87,1.78,1.86,19576538,1.86
2005-02-03,1.86,1.87,1.83,1.84,14229773,1.84
2005-02-04,1.83,1.96,1.82,1.92,30646573,1.92
2005-02-16,1.92,1.94,1.9,1.92,14542216,1.92
2005-02-17,1.92,1.93,1.89,1.91,10405678,1.91
2005-02-18,1.91,1.94,1.91,1.92,13624434,1.92
2005-02-21,1.93,1.97,1.93,1.95,22202721,1.95
2005-02-22,1.95,1.97,1.92,1.96,26950969,1.96
2005-02-23,1.96,1.97,1.92,1.94,17594436,1.94
2005-02-24,1.94,1.94,1.91,1.93,17138609,1.93
2005-02-25,1.93,1.96,1.93,1.93,19443342,1.93
2005-02-28,1.93,1.93,1.87,1.89,17728119,1.89
2005-03-01,1.89,1.89,1.86,1.86,11559324,1.86
2005-03-02,1.86,1.88,1.85,1.86,10583885,1.86
2005-03-03,1.86,1.88,1.85,1.87,6116880,1.87
2005-03-04,1.87,1.87,1.84,1.85,7478224,1.85
2005-03-07,1.84,1.86,1.81,1.82,10905434,1.82
2005-03-08,1.86,1.86,1.82,1.85,15677019,1.85
2005-03-09,1.85,1.86,1.82,1.83,14969781,1.83
2005-03-10,1.83,1.83,1.79,1.79,14139799,1.79
2005-03-11,1.78,1.8,1.77,1.78,12462490,1.78
2005-03-14,1.78,1.8,1.75,1.77,12692164,1.77
2005-03-15,1.78,1.79,1.73,1.74,14890130,1.74
2005-03-16,1.74,1.75,1.72,1.73,10999986,1.73
2005-03-17,1.73,1.75,1.73,1.74,9879688,1.74
2005-03-18,1.75,1.76,1.72,1.73,11034667,1.73
2005-03-21,1.73,1.75,1.72,1.73,6326699,1.73
2005-03-22,1.74,1.74,1.6,1.61,17994210,1.61
2005-03-23,1.61,1.62,1.56,1.56,20501708,1.56
2005-03-24,1.56,1.58,1.55,1.57,18250610,1.57
2005-03-25,1.57,1.58,1.55,1.57,8759267,1.57
2005-03-28,1.57,1.57,1.52,1.54,9433336,1.54
2005-03-29,1.54,1.56,1.54,1.54,6614598,1.54
2005-03-30,1.54,1.54,1.47,1.48,14548992,1.48
2005-03-31,1.48,1.52,1.47,1.52,11713358,1.52
2005-04-01,1.51,1.67,1.49,1.63,24071467,1.63
2005-04-04,1.61,1.62,1.56,1.58,18450474,1.58
2005-04-05,1.58,1.63,1.57,1.6,15499613,1.6
2005-04-06,1.6,1.65,1.57,1.63,18162526,1.63
2005-04-07,1.66,1.8,1.66,1.8,86055308,1.8
2005-04-08,1.83,1.98,1.8,1.98,170850222,1.98
2005-04-11,1.98,2.15,1.93,2.02,191430385,2.02
2005-04-12,2.0,2.01,1.93,1.93,100121881,1.93
2005-04-13,1.95,2.07,1.95,2.0,141066429,2.0
2005-04-14,1.99,2.0,1.9,1.92,69864423,1.92
2005-04-15,1.89,1.97,1.86,1.93,63240512,1.93
2005-04-18,1.91,1.91,1.85,1.87,35050157,1.87
2005-04-19,1.87,1.98,1.87,1.96,65996417,1.96
2005-04-20,1.92,1.96,1.88,1.93,45404845,1.93
2005-04-22,1.79,1.86,1.74,1.74,85613460,1.74
2005-04-25,1.69,1.7,1.57,1.68,56496279,1.68
2005-04-26,1.68,1.78,1.66,1.76,49786088,1.76
2005-04-27,1.76,1.76,1.65,1.66,37732356,1.66
2005-04-28,1.66,1.75,1.6,1.71,45579501,1.71
2005-04-29,1.71,1.88,1.69,1.8,81195302,1.8
2005-05-09,1.81,1.82,1.74,1.77,33313081,1.77
2005-05-10,1.77,1.85,1.74,1.84,37256473,1.84
2005-05-11,1.83,1.86,1.78,1.8,36725270,1.8
2005-05-12,1.8,1.84,1.79,1.8,27284567,1.8
2005-05-13,1.8,1.82,1.72,1.75,38310526,1.75
2005-05-16,1.75,1.75,1.68,1.72,18715713,1.72
2005-05-17,1.72,1.79,1.69,1.76,20943476,1.76
2005-05-18,1.76,1.8,1.76,1.79,17885737,1.79
2005-05-19,1.79,1.82,1.75,1.8,25084378,1.8
2005-05-20,1.81,1.84,1.78,1.81,33956310,1.81
2005-05-23,1.78,1.79,1.73,1.73,28398514,1.73
2005-05-24,1.73,1.81,1.72,1.79,24033477,1.79
2005-05-25,1.8,1.83,1.78,1.8,18992722,1.8
2005-05-26,1.79,1.81,1.78,1.79,15014002,1.79
2005-05-27,1.79,1.83,1.78,1.79,18666877,1.79
2005-05-30,1.78,1.79,1.72,1.78,19947232,1.78
2005-05-31,1.78,1.79,1.74,1.75,20617332,1.75
2005-06-01,1.75,1.76,1.73,1.73,13261791,1.73
2005-06-02,1.73,1.75,1.66,1.68,27067480,1.68
2005-06-03,1.68,1.75,1.66,1.7,22834552,1.7
2005-06-06,1.69,1.73,1.66,1.73,17050806,1.73
2005-06-07,1.74,1.78,1.72,1.73,23938104,1.73
2005-06-08,1.73,1.9,1.73,1.89,75642842,1.89
2005-06-09,1.89,1.93,1.86,1.89,73097870,1.89
2005-06-10,1.88,2.01,1.87,1.91,88346643,1.91
2005-06-13,1.91,1.95,1.86,1.89,47298295,1.89
2005-06-14,1.89,1.94,1.86,1.86,35613519,1.86
2005-06-15,1.85,1.87,1.8,1.81,24959984,1.81
2005-06-16,1.81,1.87,1.81,1.85,23008580,1.85
2005-06-20,1.85,1.89,1.77,1.86,52406158,1.86
2005-06-21,1.87,1.9,1.84,1.86,32610788,1.86
2005-06-22,1.87,1.9,1.86,1.89,30126892,1.89
2005-06-23,1.88,1.9,1.8,1.81,39502251,1.81
2005-06-24,1.81,1.83,1.8,1.83,18131471,1.83
2005-06-27,1.86,1.89,1.85,1.87,38725716,1.87
2005-06-28,1.86,1.86,1.81,1.82,24739381,1.82
2005-06-29,1.83,1.84,1.81,1.81,10887918,1.81
2005-06-30,1.81,1.81,1.72,1.73,38164299,1.73
2005-07-01,1.72,1.73,1.67,1.68,26163561,1.68
2005-07-04,1.67,1.7,1.66,1.7,19136862,1.7
2005-07-05,1.69,1.7,1.66,1.68,9467113,1.68
2005-07-06,1.67,1.69,1.64,1.65,14470603,1.65
2005-07-07,1.64,1.66,1.64,1.65,9335990,1.65
2005-07-08,1.65,1.65,1.59,1.59,23253258,1.59
2005-07-11,1.6,1.65,1.59,1.6,15177387,1.6
2005-07-12,1.6,1.71,1.58,1.69,27801900,1.69
2005-07-13,1.68,1.69,1.66,1.67,14459846,1.67
2005-07-14,1.67,1.69,1.66,1.68,11702227,1.68
2005-07-15,1.67,1.69,1.63,1.65,10945978,1.65
2005-07-18,1.65,1.66,1.61,1.64,15246343,1.64
2005-07-19,1.64,1.69,1.62,1.66,17680767,1.66
2005-07-20,1.67,1.69,1.65,1.68,19145869,1.68
2005-07-21,1.69,1.69,1.66,1.68,8965697,1.68
2005-07-22,1.69,1.76,1.69,1.73,43348552,1.73
2005-07-25,1.73,1.75,1.71,1.73,18829041,1.73
2005-07-26,1.73,1.78,1.73,1.75,29562455,1.75
2005-07-27,1.75,1.77,1.73,1.77,25043800,1.77
2005-07-28,1.77,1.79,1.75,1.75,32722539,1.75
2005-07-29,1.75,1.75,1.71,1.73,20781291,1.73
2005-08-01,1.72,1.74,1.7,1.73,18324378,1.73
2005-08-02,1.73,1.75,1.71,1.75,21541007,1.75
2005-08-03,1.76,1.84,1.75,1.78,53413979,1.78
2005-08-04,1.77,1.79,1.75,1.76,23526381,1.76
2005-08-05,1.76,1.82,1.76,1.81,51270073,1.81
2005-08-08,1.82,1.83,1.8,1.82,33352669,1.82
2005-08-09,1.82,1.83,1.79,1.82,29059489,1.82
2005-08-10,1.83,1.85,1.81,1.83,39688756,1.83
2005-08-11,1.83,1.89,1.82,1.88,77431246,1.88
2005-08-12,1.88,1.89,1.8,1.8,57930690,1.8
2005-08-15,1.8,1.84,1.8,1.83,33568299,1.83
2005-08-16,1.83,1.84,1.78,1.79,38108346,1.79
2005-08-17,1.79,1.8,1.74,1.8,35917910,1.8
2005-08-18,1.8,1.83,1.75,1.75,46265323,1.75
2005-08-19,1.75,1.78,1.72,1.74,26872634,1.74
2005-08-22,1.74,1.77,1.73,1.76,16009874,1.76
2005-08-23,1.76,1.76,1.71,1.74,22724588,1.74
2005-08-24,1.74,1.77,1.74,1.75,17064195,1.75
2005-08-25,1.76,1.77,1.73,1.75,14838435,1.75
2005-08-26,1.75,1.8,1.74,1.79,34080725,1.79
2005-08-29,1.8,1.82,1.76,1.77,26404119,1.77
2005-08-30,1.79,1.81,1.77,1.78,30380210,1.78
2005-08-31,1.78,1.81,1.76,1.81,34678424,1.81
2005-09-01,1.82,1.84,1.8,1.83,52530089,1.83
2005-09-02,1.84,1.87,1.82,1.82,45613089,1.82
2005-09-05,1.82,1.84,1.8,1.84,26797835,1.84
2005-09-06,1.84,1.84,1.78,1.79,31093311,1.79
2005-09-07,1.79,1.81,1.77,1.81,28948652,1.81
2005-09-08,1.81,1.86,1.8,1.84,61841827,1.84
2005-09-09,1.84,1.87,1.81,1.82,34061240,1.82
2005-09-12,1.82,1.83,1.8,1.82,17035974,1.82
2005-09-13,1.82,1.84,1.8,1.84,28221967,1.84
2005-09-14,1.84,1.86,1.83,1.86,46194699,1.86
2005-09-15,1.86,1.86,1.82,1.83,28430126,1.83
2005-09-16,1.83,1.85,1.82,1.83,25023170,1.83
2005-09-19,1.83,1.84,1.81,1.83,23888384,1.83
2005-09-20,1.82,1.82,1.78,1.79,36309756,1.79
2005-09-21,1.79,1.8,1.75,1.75,28730424,1.75
2005-09-22,1.75,1.76,1.7,1.72,32265946,1.72
2005-09-23,1.72,1.73,1.7,1.7,16189679,1.7
2005-09-26,1.7,1.73,1.69,1.73,14090052,1.73
2005-09-27,1.74,1.74,1.67,1.68,17290124,1.68
2005-10-21,1.83,1.84,1.77,1.84,60847577,1.84
2005-10-24,1.91,1.91,1.81,1.82,130129617,1.82
2005-10-25,1.81,1.83,1.75,1.77,59991962,1.77
2005-10-26,1.78,1.79,1.7,1.72,46301155,1.72
2005-10-27,1.72,1.73,1.68,1.7,34411646,1.7
2005-10-28,1.69,1.71,1.6,1.62,35094883,1.62
2005-10-31,1.62,1.68,1.62,1.66,31255042,1.66
2005-11-01,1.66,1.67,1.63,1.66,15368408,1.66
2005-11-02,1.66,1.68,1.65,1.68,15253546,1.68
2005-11-03,1.68,1.68,1.63,1.65,14725989,1.65
2005-11-04,1.64,1.66,1.63,1.66,10746668,1.66
2005-11-07,1.66,1.67,1.64,1.66,10733668,1.66
2005-11-08,1.66,1.68,1.64,1.68,11269338,1.68
2005-11-09,1.68,1.68,1.65,1.66,9214798,1.66
2005-11-10,1.66,1.66,1.61,1.62,15014648,1.62
2005-11-11,1.62,1.63,1.6,1.61,9016884,1.61
2005-11-14,1.61,1.65,1.61,1.63,5768763,1.63
2005-11-15,1.63,1.65,1.62,1.64,9576393,1.64
2005-11-16,1.63,1.65,1.62,1.65,8090810,1.65
2005-11-17,1.65,1.66,1.64,1.65,11613641,1.65
2005-11-18,1.66,1.69,1.64,1.68,25979296,1.68
2005-11-21,1.68,1.68,1.66,1.67,11842646,1.67
2005-11-22,1.67,1.67,1.63,1.63,10274500,1.63
2005-11-23,1.62,1.65,1.62,1.65,7974237,1.65
2005-11-24,1.65,1.68,1.63,1.66,12063976,1.66
2005-11-25,1.66,1.72,1.65,1.71,47290491,1.71
2005-11-28,1.71,1.71,1.68,1.68,16001898,1.68
2005-11-29,1.67,1.7,1.67,1.68,10879145,1.68
2005-11-30,1.68,1.7,1.67,1.7,12538285,1.7
2005-12-01,1.7,1.7,1.68,1.69,9070167,1.69
2005-12-02,1.68,1.7,1.68,1.7,14858483,1.7
2005-12-05,1.69,1.69,1.63,1.64,15340919,1.64
2005-12-06,1.63,1.7,1.63,1.68,17115773,1.68
2005-12-07,1.68,1.7,1.67,1.69,14042240,1.69
2005-12-08,1.69,1.71,1.68,1.69,12036079,1.69
2005-12-09,1.69,1.72,1.68,1.71,25680441,1.71
2005-12-12,1.72,1.74,1.7,1.72,22135050,1.72
2005-12-13,1.71,1.72,1.7,1.72,12642682,1.72
2005-12-14,1.72,1.79,1.71,1.77,49761514,1.77
2005-12-15,1.77,1.78,1.74,1.75,44922838,1.75
2005-12-16,1.75,1.75,1.73,1.75,19556149,1.75
2005-12-19,1.75,1.75,1.73,1.74,14092024,1.74
2005-12-20,1.74,1.78,1.74,1.77,32239794,1.77
2005-12-21,1.77,1.8,1.76,1.76,38592889,1.76
2005-12-22,1.76,1.77,1.75,1.76,16670389,1.76
2005-12-23,1.76,1.79,1.76,1.78,25117571,1.78
2005-12-26,1.8,1.82,1.79,1.81,54546810,1.81
2005-12-27,1.81,1.81,1.79,1.8,19221565,1.8
2005-12-28,1.8,1.8,1.78,1.8,16738301,1.8
2005-12-29,1.8,1.82,1.79,1.81,27353778,1.81
2005-12-30,1.81,1.82,1.78,1.79,19378156,1.79
2006-01-04,1.78,1.84,1.78,1.83,53076914,1.83
2006-01-05,1.83,1.85,1.82,1.84,52872501,1.84
2006-01-06,1.86,1.89,1.85,1.87,82016776,1.87
2006-01-09,1.86,1.87,1.84,1.86,37877407,1.86
2006-01-10,1.85,1.85,1.79,1.83,73632905,1.83
2006-01-11,1.83,1.84,1.8,1.81,33503366,1.81
2006-01-12,1.81,1.83,1.8,1.83,23095069,1.83
2006-01-13,1.82,1.84,1.8,1.81,27480536,1.81
2006-01-16,1.8,1.8,1.77,1.77,33576014,1.77
2006-01-17,1.77,1.8,1.76,1.79,18745620,1.79
2006-01-18,1.79,1.82,1.78,1.81,23064399,1.81
2006-01-19,1.81,1.83,1.8,1.83,27351427,1.83
2006-01-20,1.84,1.84,1.8,1.81,21406252,1.81
2006-01-23,1.81,1.82,1.79,1.8,24321218,1.8
2006-01-24,1.79,1.82,1.79,1.82,28777040,1.82
